food_name,Meal type,Category,Standalone dish,Veg/Non Veg,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg
Sweet raita (Meetha raita),Side Dish,Lunch/Dinner,,,bowl,803.76,190.55,34.43,6.22,3.42,29.49,1.96,2020,819.88,280.6,11,209.11,181.6,32.11,82.53,447.92,0.41,0.06,2.23,0.01,0.13,0.84,0.8,28,0.15,0.79,0,2.49,0,24.9,0.08,0.29,0.47,0.65,0.27,3.23,24.9,5.2
Dahi vadas/Dahi bhalla,Snack,Lunch/Dinner,,,vada,4734.69,1150.16,9.45,5.1,121.27,3.06,1.66,15158.63,24934.88,76112.02,4.13,84.46,112.36,30.73,136.08,262.46,0.84,0.1,3.76,0,0.24,0.02,0.66,10.5,59.11,1.14,0,10.6,0,18.3,0.05,0.11,0.32,0.56,0.07,1.11,18.3,0.57
Gunjia,Snack,Lunch/Dinner,,,gunjia,4801.73,1166.18,9.92,5.21,122.81,3.58,1.98,16206.71,25026.06,76130.41,4.13,84.16,114.41,31.16,136.13,269.39,0.87,0.11,3.76,0,0.22,0.02,0.67,10.5,59.21,1.08,0,9.79,0,19.06,0.05,0.12,0.33,0.57,0.07,1.11,19.06,0.51
Saunth/Sonth chutney with tamarind/imli,Condiment,Lunch/Dinner,,,teaspoon,104.81,25.05,5.94,0.18,0.03,5.54,0.17,5.68,7.75,8.26,0,9.69,6.89,8.19,43.25,47.31,0.48,0.02,0.05,0,0.05,0.01,0.04,0,0.01,0.67,0,0.17,0,0.99,0.01,0,0.05,0.02,0.04,0.05,0.99,0.09
Rice kheer (Chawal ki kheer),Dessert,Lunch/Dinner,,,bowl,1264.81,300.94,40.31,9.21,11.92,32.16,0.69,6834.93,3474.35,518.59,0,303.13,262.35,29.42,65.13,333.24,0.68,0.15,2.62,0.01,0.33,0.12,1.01,0,0.85,0.26,0,0.3,0,19.54,0.1,0.28,0.51,0.92,0.13,5.04,19.54,5.06
Makhana kheer,Dessert,Lunch/Dinner,,,bowl,1259.43,299.94,35.82,9.21,13.92,32.09,0.32,8004.83,3999.08,646.69,4.92,310.49,279.65,37.25,65.08,387.54,0.78,0.14,2.5,0.01,0.37,0.06,0.96,18.44,0.96,0.26,0,0.15,0,23.77,0.11,0.29,0.33,0.91,0.14,5.01,23.77,5.06
Vermicelli kheer (Semiya/Seviyan ki kheer),Dessert,Lunch/Dinner,,,bowl,1172.1,279.08,36.9,7.8,11.61,29.73,1.15,6636.59,3371.03,532.99,4.92,243.58,209.98,24.8,52.34,270.94,0.69,0.12,3.39,0.01,0.13,0.07,0.81,18.44,0.84,0.36,0,0.21,0,16.29,0.07,0.22,0.27,0.74,0.09,4.13,16.29,4.06
Semolina kheer (Suji/Rava kheer),Dessert,Lunch/Dinner,,,bowl,1097.18,260.87,36.6,7.9,9.69,29.68,1.17,5472.09,2860.88,457.29,0,244.24,211.18,24.68,52.21,281.64,0.77,0.15,3.06,0.01,0.25,0.07,0.93,0,0.75,0.86,0,0.23,0,17.54,0.09,0.23,0.32,0.77,0.09,4.04,17.54,4.06
Paneer kheer,Dessert,Lunch/Dinner,,,bowl,1279.03,304.78,29.03,13.1,15.55,28.55,0.2,9029.45,4536.14,603.54,0,418.7,330,31.57,68.92,326.33,0.76,0.13,8.22,0.04,0.09,0.05,1.56,0,0.84,0.07,0,0.11,0,41.81,0.08,0.3,0.28,0.98,0.11,10.25,41.81,5.06
Cabbage kheer (Pattagobhi ki kheer),Dessert,Lunch/Dinner,,,bowl,892.78,212.47,24.75,7.3,9.66,23.62,1.3,5481.81,2866.16,461.35,0,261.4,211.28,27.97,57.67,346.14,0.6,0.1,2.4,0.01,0.14,0.05,0.78,0,0.75,0.13,0,45.31,0,33.51,0.07,0.24,0.3,0.79,0.14,4.56,33.51,17.36
