food_name,Meal type,Category,Standalone dish,Veg/Non Veg,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg
Hot chocolate,Beverage,Breakfast,,,tea cup,719.48,171.46,17.18,6.53,8.78,16.89,0,5297.6,2411.2,282.4,0.03,216.46,193.81,28.55,68.66,258,0.63,0.43,1.73,0.01,0.12,0,1.16,0.08,0.44,0,0,0.01,0,13.41,0.06,0.2,0.21,0.64,0.07,4.48,13.41,3.62
Cold coffee (with cream),Beverage,Breakfast,,,tall glass,873.3,207.32,30.02,4.84,8.24,29.82,0,5070.9,2217.3,260.1,8.25,161.4,137.25,21.49,38.46,268.13,0.36,0.08,1.41,0,0.08,0,0.5,43.65,0.33,0,0,0.13,0,9.52,0.04,0.17,0.86,0.45,0.05,4.81,9.52,2.56
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),Beverage,Breakfast,,,tall glass,1092.85,259.92,37.92,6.85,9.42,33.81,0.91,5695.1,2510.45,349.2,4.41,232.21,195.05,29.24,56.53,377,0.47,0.12,1.86,0.01,0.16,0,0.71,13.65,0.51,0.08,0,0.88,0,20.73,0.07,0.26,0.37,0.91,0.28,4.51,20.73,6.99
Flavoured milkshake,Beverage,Breakfast,,,tall glass,801,190.31,24.64,5.87,8.06,24.55,0,4872.6,2185.2,248.4,0,213.9,173.96,15.2,46.58,207.75,0.3,0.07,1.71,0.01,0.02,0,0.61,0,0.4,0,0,0,0,12.65,0.05,0.2,0.14,0.61,0.07,3.56,12.65,3.62
Jal jeera,Beverage,Breakfast,,,juice glass,178.75,42.34,9.38,0.61,0.36,8,1.33,32.15,149.85,108.27,0,34.61,15.82,18.05,301.91,106.85,1.17,0.07,0.56,0.01,0.47,0.03,0.16,0,0.05,1.87,0,8.1,0,4.47,0.03,0.01,0.18,0.03,0.02,0.15,4.47,2.23
Gingo,Beverage,Breakfast,,,tall glass,594,139.73,36.14,0.4,0.17,35.15,0.49,43.58,9.6,83.6,0,18.42,6.73,9.75,62.57,60.59,0.62,0.06,0.65,0,0.16,0.02,0.09,0,0.04,0.36,0,10.75,0,8.49,0.01,0.01,0.07,0.04,0.02,0.45,8.49,8.39
Mintade,Beverage,Breakfast,,,glass,976.78,229.84,60.39,0.19,0.13,59.68,0.15,35.92,7.44,64.25,0,11.95,3.66,4.84,152.15,34.18,0.3,0.05,0.29,0,0.03,0.01,0.06,0,0.02,0.14,0,4.37,0,4.69,0.01,0.01,0.04,0.03,0.01,0.34,4.69,8.5
Canjee,Beverage,Breakfast,,,glass,47.12,11.26,0.74,0.42,0.72,0.36,0.61,44.56,354.96,177.34,0,9.92,15.76,6.08,73.26,36.09,0.29,0.02,1.21,0,0.09,0,0.09,0,0.04,0.64,0,1.75,0,3.61,0.01,0.01,0.09,0.03,0.01,0.15,3.61,0.52
Cauliflower canjee (Phoolgobhi ki canjee),Beverage,Breakfast,,,glass,51.53,12.32,0.62,0.69,0.76,0.17,0.88,56.75,357.35,191.18,0,11.19,20.06,8.53,74.02,68.17,0.4,0.02,1.27,0,0.11,0,0.12,0,0.03,0.75,0,2.61,0,9.26,0.02,0.02,0.12,0.11,0.03,0.44,9.26,7.86
Potato canjee (Aloo canjee),Beverage,Breakfast,,,glass,132.87,31.76,5.24,0.85,0.76,0.2,0.83,51.77,357.82,198.18,0,10.16,26.64,12.71,70.27,193.67,0.43,0.04,1.44,0,0.12,0,0.16,0,0.04,0.59,0,0.93,0,6.77,0.03,0.01,0.42,0.14,0.04,0.47,6.77,7.72
Vermicelli porridge (Semiya/Seviyan porridge),Breakfast,Breakfast,,,bowl,1304.71,310.85,41.89,9.9,11.83,27.91,1.91,7090.99,3176.37,410.8,2.46,289.29,253.3,28.36,259.05,312.6,0.81,0.13,5.14,0.01,0.17,0.02,0.98,9.22,0.59,0.64,0,0.2,0,19.51,0.1,0.27,0.33,0.91,0.1,5.02,19.51,4.82
Semolina upma (Suji/Rava upma),Breakfast,Breakfast,,,bowl,652.6,157.14,17.33,3.51,7.96,1.39,3.45,969.84,1629.22,4942.76,0,22.92,46.95,22.68,107.94,168.26,1.16,0.15,3.41,0,0.63,0.08,0.63,0,3.79,3.66,0,10.81,0,15.13,0.08,0.03,0.46,0.3,0.07,0.62,15.13,4.64
Vermicelli upma (Semiya/Seviyan upma),Breakfast,Breakfast,,,bowl,658,158.43,17.93,3.31,7.91,1.49,3.41,962.06,1621.52,4911.76,0,21.57,44.55,22.9,108.17,146.86,0.99,0.1,4.08,0,0.38,0.08,0.38,0,3.76,2.66,0,10.77,0,12.64,0.05,0.02,0.37,0.25,0.06,0.8,12.64,4.64
Rice upma,Breakfast,Breakfast,,,bowl,667.6,160.73,19.08,2.79,7.92,1.2,2.25,982.07,1633.08,4920.96,0,18.67,51.15,20.44,108.11,139.86,0.71,0.11,1.46,0,0.39,0.1,0.42,0,3.77,2.02,0,10.87,0,11.94,0.06,0.03,0.74,0.26,0.09,0.59,11.94,4.64
Bread upma,Breakfast,Breakfast,,,bowl,574.2,137.61,13.39,2.97,8.23,1.66,2.08,952.07,1615.75,4877.76,0,48.04,42.35,19.5,187.48,138.26,0.87,0.09,2.62,0,0.33,0.07,0.34,0,3.77,2.02,0,10.57,0,15.79,0.07,0.03,0.55,0.15,0.06,0.53,15.79,4.64
Vegetable upma,Breakfast,Breakfast,,,plate,1437.68,345.17,38.78,11.14,15.63,3.27,9.87,2202.79,4401.51,8084.79,0,62.88,158,79.05,817.8,490.89,3.17,0.45,8.84,0.01,1.5,0.27,1.85,0,5.63,11.35,0,30.31,0,50.48,0.29,0.09,2.45,0.84,0.21,2.02,50.48,14.42
Poha,Breakfast,Breakfast,,,bowl,669.46,160.78,19.13,3.32,7.72,0.48,2.03,1111.38,2247.52,4007.34,0,20.56,76.3,36.49,205.86,182.32,1.65,0.13,1.26,0.01,0.38,0.14,0.58,0,2.75,2.04,0,7.18,0,11.96,0.07,0.02,1.14,0.23,0.05,0.45,11.96,6.62
Vegetable poha,Breakfast,Breakfast,,,bowl,735.64,176.6,21.05,4.78,7.89,1.37,3.68,1140.42,2272.29,4092.79,0,27.4,94.2,47.53,408.95,218.24,1.88,0.19,2.23,0.01,0.53,0.15,0.79,0,2.79,4.04,0,15.11,0,21.79,0.11,0.05,1.32,0.36,0.08,1,21.79,7.21
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),Breakfast,Breakfast,,,cheela,1466.7,352.1,44.16,15.85,11.63,2.52,9.66,1487.35,2281.97,6990.19,0,89.44,293.63,138.91,607.5,1305.16,5.05,0.69,27.59,0.01,1.25,0.33,1.96,0,5.32,5.66,0,47.33,0,79.95,0.28,0.1,2.09,1.44,0.28,2.51,79.95,34.81
Paneer stuffed cheela/chilla,Breakfast,Breakfast,,,cheela,1816.4,435.68,40.68,24.28,18.87,8.1,8.55,5884.54,4422.98,7125.84,0,321.25,430.41,136.57,613.84,985.27,5.13,0.69,38.67,0.07,1.22,0.33,3.14,0,5.29,5.6,0,45.95,0,116.52,0.25,0.14,1.48,1.43,0.24,12.16,116.52,19.76
Indian style egg bhujia (Anda bhujia (Indian style)),Breakfast,Breakfast,,N,small bowl,539.35,129.53,4.74,7.68,8.84,2.45,1.93,2019.93,2595.38,3238.11,183,40.18,113.89,21.53,274.66,224.92,1.43,0.1,20.37,0,0.36,0.05,0.81,99,2.84,4.22,0.42,16.95,7.3,40.85,0.06,0.11,0.41,0.92,0.17,10.41,40.85,13.56
French omelette/omlet,Breakfast,Breakfast,,,egg,595.05,143.51,0.28,6.82,12.82,0.06,0.26,6695.83,3834,870.78,204.3,31.51,96.82,9.02,259.66,90.5,1.08,0.05,20.29,0,0.07,0.04,0.65,194.8,0.96,0.2,0.42,7.07,7.3,25.79,0.03,0.1,0.07,0.75,0.09,9.24,25.79,0.48
Puffy omelette/omlet,Breakfast,Breakfast,,,egg,592.92,142.99,0.06,6.7,12.8,0.06,0,6688,3831.5,859,204.3,26.57,94.81,6.59,258.8,176.04,0.91,0.04,20.22,0,0.01,0,0.63,194.8,0.94,0,0.42,0.74,7.3,24.66,0.03,0.1,0.05,0.74,0.08,9.14,24.66,0
Orange omelette/omlet,Breakfast,Breakfast,,,egg,613.92,147.94,1.27,6.79,12.8,1.27,0,6688,3831.5,859,204.3,28.37,98.11,8.39,259.1,203.04,0.96,0.04,20.22,0,0.02,0,0.63,194.8,0.99,0,0.42,0.74,7.3,28.86,0.04,0.1,0.09,0.78,0.09,9.29,28.86,7.2
Cheese and mushroom omelette/omlet,Breakfast,Breakfast,,,egg,1091,263.2,2.15,12.4,22.81,1.38,1.19,12899.2,6466.54,1298.68,236.2,190.43,316.1,21.36,512.38,231.75,1.29,0.08,21.54,0,0.12,0.04,1.35,310.2,1.19,6.36,0.42,11.6,7.3,32.02,0.05,0.18,0.3,1.04,0.14,13.42,32.02,0.48
Spanish omelette/omlet,Breakfast,Breakfast,,,egg,993.59,239.32,7.75,12.54,17.39,1.56,3.86,9429.97,5040.31,1117.2,220.75,48.22,164.86,33.84,355.48,282.33,1.95,0.19,22.24,0,0.32,0.05,1.42,242.7,1.2,7.87,0.42,28.17,7.3,61.18,0.26,0.14,1.47,1.25,0.26,12.1,61.18,28.63
Mixed stock,Cooking Base,Lunch/Dinner,,,cup,951.5,229.25,3.02,18.79,15.59,1.82,1.33,4529.7,6762.07,3224.6,96,18.72,195.08,27.94,86.57,358.8,0.66,0.1,12.11,0,0.11,0,1.17,54,0.17,0.42,0,4.57,0,16.58,0.08,0.13,7.46,1.19,0.49,2.32,16.58,2.58
Meat stock,Cooking Base,Lunch/Dinner,,N,cup,883.5,213,0,18.3,15.45,0,0,4500,6750,3150,96,7.5,180,21,75,270,0.45,0.06,12,0,0.01,0,1.05,54,0.12,0,0,0,0,6,0.06,0.12,7.35,1.07,0.45,1.5,6,0
White stock,Cooking Base,Lunch/Dinner,,,cup,220.95,53.45,3.05,0.52,4.25,1.85,1.33,2634.2,1057.57,216.1,10.65,12.12,16.23,7.04,11.97,90.15,0.21,0.04,0.11,0,0.09,0,0.13,47.9,0.14,0.42,0,4.94,0,10.58,0.02,0.01,0.11,0.12,0.04,0.83,10.58,2.58
Meat consomme (with mutton),Soup,Lunch/Dinner,,N,bowl,771.99,184.51,3.16,92.11,84.79,1.52,4.39,54.63,24.21,91.5,0,718.33,1098.4,239.72,78513.55,2271.78,26.13,0.54,5.67,0,1.8,0.05,5.91,0,0.06,0.84,0.27,10.73,0,15.49,0.17,0.16,5.57,0.45,0.04,1.91,15.49,2.44
Consomme au julienne,Soup,Lunch/Dinner,,,bowl,894.34,213.74,11.48,96.18,82.05,6.36,10.66,838.99,848.52,784.1,49.24,661.29,1185.39,280.98,78595.01,2701.28,25.69,0.88,20.85,0.01,2.16,0.05,6.91,5.57,0.6,2.88,1.37,38.26,22.24,55.26,0.16,0.14,6.91,1.82,0.63,7.45,55.26,11.77
Consomme au vermicelli,Soup,Lunch/Dinner,,,bowl,785.45,187.72,8.16,95.48,81.38,1.67,5.05,710.92,819.03,397,49.24,610.24,1128.29,258.61,78516.75,2304.18,24.94,0.78,21.52,0,1.87,0.06,6.6,5.57,0.29,1.06,1.37,10.8,22.24,20.12,0.11,0.1,6.62,1.41,0.46,5.3,20.12,2.44
Green pea soup (Matar ka soup),Soup,Lunch/Dinner,,,bowl,922.13,221.32,20.2,61.52,71.7,4.83,13.86,4963.02,2962.72,754.97,23.11,259.28,574.3,213.47,60927.08,1834.29,12.15,0.46,3.64,0.01,1.54,0.07,3.04,62.81,0.43,13.65,0,53.04,0,65.46,0.43,0.12,2.55,1.14,0.33,6,65.46,41.12
Spinach soup (Palak ka soup),Soup,Lunch/Dinner,,,bowl,682.76,163.88,15.21,52.98,71.72,1.47,9.95,5424.16,2151.35,616.75,21.3,282.74,493.24,255.01,60780.72,2089.43,13.48,0.41,3.27,0.03,2.25,0.05,2.12,95.8,1.51,1.1,0,327.42,0,150.94,0.21,0.12,0.66,0.31,0.18,4.49,150.94,30.99
Mixed vegetable soup,Soup,Lunch/Dinner,,,bowl,654.5,157.37,12.99,36.21,51.39,7.23,7.21,5885.52,2446.15,529.96,17.04,223.4,394.47,132.6,40554.39,1303.75,7.65,0.25,1.63,0.01,0.94,0.05,1.47,76.64,0.44,6.09,0,20.89,0,31.61,0.08,0.1,0.6,0.57,0.14,3.15,31.61,20.06
Cheese soup,Soup,Lunch/Dinner,,,bowl,758.65,182.97,8.31,55.11,75.94,3.72,7.99,8504.33,3593.71,562.72,42.54,372.09,684.94,177.17,60922.39,1561.14,10.66,0.24,1.89,0,1.12,0.05,2.43,157.64,0.36,0.86,0,11.59,0,20.27,0.04,0.09,0.2,0.34,0.07,2.94,20.27,5.29
Mulligatawny soup,Soup,Lunch/Dinner,,,bowl,791.69,189.85,28.73,39.3,46.31,4.39,9.05,2725.98,1108.54,404.65,10.65,153.09,394.81,138.67,40474.14,1268.86,9.26,0.42,10.55,0.01,1.18,1.02,2.06,47.9,0.24,1.23,0,14.03,0,27.88,0.12,0.06,0.95,0.5,0.13,1.58,27.88,8.37
Cream of carrot soup,Soup,Lunch/Dinner,,,bowl,1157.03,278.3,26.48,38.53,57.52,8.23,9.21,9761.22,4037.5,832.58,31.06,266.54,445.28,139.59,40487.3,1349.77,8.06,0.3,1.45,0.01,1.13,0.13,1.79,144.06,0.66,2.27,0,24.87,0,37.89,0.1,0.16,0.67,0.74,0.18,4,37.89,10.68
Cream of broccoli soup,Soup,Lunch/Dinner,,,bowl,1077.23,258.62,17.14,41.32,58.72,7.35,8.7,10512.06,4385.02,839.68,35.31,306.56,500.03,142.49,40502.33,1443.67,8.38,0.27,2.21,0,1.1,0.07,2.17,157.56,1.88,1.19,0,158.12,0,94.43,0.18,0.24,0.89,0.97,0.18,6.33,94.43,68.91
Cream of potato soup,Soup,Lunch/Dinner,,,bowl,1190.73,286.36,29.22,38.53,57.32,5.9,7.21,9719.62,4025.84,727.18,31.06,247.18,440.25,147.61,40449.24,1658.17,8.08,0.3,1.91,0.01,1.01,0.07,1.76,144.06,0.54,1.38,0,12.16,0,33.19,0.11,0.14,1.28,0.83,0.17,4.12,33.19,28.86
Almond soup (Badam ka soup),Soup,Lunch/Dinner,,,bowl,1563.38,375.16,17.57,48.32,65.82,9.28,4.32,12297.71,11310.02,2942.57,134.4,548.33,786.4,185.7,39957.98,1346.54,13.5,0.51,7.78,0.01,1.21,0.08,4.31,178.8,4.79,1.33,0.32,11.79,4.51,38.67,0.11,0.27,0.92,1.11,0.14,11.11,38.67,7.68
Cold cucumber cream soup,Soup,Lunch/Dinner,,,bowl,189.6,45.43,6.73,1.29,1.29,1.95,2.8,717.4,281.37,179.16,2.75,30.67,40.98,28.21,795.18,248.57,0.63,0.08,0.3,0.01,0.17,0.03,0.28,14.55,0.07,1.59,0,10.22,0,24.84,0.04,0.02,0.44,0.54,0.09,3.79,24.84,14.72
Cold tomato soup,Soup,Lunch/Dinner,,,bowl,191.45,46.4,1.62,0.31,4.27,0.6,0.44,2645.33,1058.24,218.77,10.65,11.52,6.22,7.32,788.23,55,0.28,0.03,0.28,0,0.07,0.06,0.05,47.9,0.14,1.44,0,7.19,0,5.63,0.01,0.01,0.09,0.05,0.02,0.47,5.63,10.09
Chicken stew,Main Course,Lunch/Dinner,,N,bowl,1571.23,378.63,13.19,21.35,26.46,4.26,5.4,5902.63,8983.96,9880.17,96,93.6,254.96,72.38,236.35,803.26,2.67,0.25,14.75,0.01,1.86,0.16,1.68,54,5.37,7.61,0,29.24,0,36.31,0.15,0.21,8.42,1.42,0.67,3.37,36.31,20.89
Veg paneer stew,Main Course,Lunch/Dinner,,,bowl,1437.13,344.74,24.2,16.54,19.91,11.49,7.29,6718.93,4822.59,7010.44,0,380.17,289.74,79.39,173.27,646.08,3.24,0.32,17.12,0.08,2.07,0.18,2.6,0,5.33,11.56,0,42.51,0,102.72,0.18,0.16,1.54,0.86,0.3,15.7,102.72,32.41
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),Bread,Lunch/Dinner,,,parantha,608.56,146.23,20.16,3.34,5.56,2.07,3.95,679.43,1095.02,3418.99,0,19.04,95.45,40.84,184.39,145.49,1.38,0.17,14.27,0,0.89,0.02,0.88,0,2.55,3.86,0,4.4,0,16.17,0.13,0.05,0.77,0.32,0.1,0.94,16.17,3.05
Methi parantha/paratha,Bread,Lunch/Dinner,,,parantha,563.93,135.3,20.24,3.9,3.96,2.22,4.64,509.6,738.41,2421.5,0,60.05,102.77,50.04,44.1,176.85,2.2,0.19,14.47,0.01,1.07,0.01,0.95,0,1.79,4.27,0,73.78,0,28.46,0.14,0.08,0.86,0.4,0.16,1.73,28.46,12.63
Bathua poori,Bread,Lunch/Dinner,,,poori,2242.07,544.24,12.59,2.14,53.75,0.38,1.7,6570.23,11009.15,33890.91,0.55,28.02,41.95,19.3,45.18,89.57,0.87,0.07,4.88,0,0.5,0.01,0.44,2.05,26.32,1.9,0,28.47,0,8.77,0.06,0.08,0.34,0.19,0.05,0.26,8.77,4.56
Gram flour poori (Besan poori),Bread,Lunch/Dinner,,,poori,2164.91,525.57,8.24,1.95,53.87,0.26,1.46,6575.24,11048.58,33960.54,0.55,5.34,37.78,13.95,43.94,40.94,0.54,0.06,4.9,0,0.34,0,0.32,2.05,26.4,1.19,0,3.89,0,11.18,0.06,0.02,0.3,0.13,0.04,0.44,11.18,0
Beetroot poori (Chukandar ki poori),Bread,Lunch/Dinner,,,poori,2237.46,543.14,12.65,1.97,53.71,0.56,1.44,6558.63,11009.41,33870.14,0.55,5.54,39.8,15.77,47.84,57.9,0.62,0.07,4.74,0,0.35,0.01,0.35,2.05,26.3,1.8,0,3.75,0,9.45,0.05,0.02,0.29,0.16,0.03,0.26,9.45,0.29
Peas poori (Matar ki poori),Bread,Lunch/Dinner,,,poori,2047.06,496.79,12.5,2.54,48.35,0.4,1.89,5903.49,9910.82,30486.67,0.49,7.51,40.72,17.34,40.03,66.69,0.71,0.08,4.45,0,0.34,0.01,0.43,1.84,23.69,3.16,0,8.53,0,10.21,0.08,0.02,0.4,0.21,0.05,0.59,10.21,4.61
Peas kachori (Matar kachori),Snack,Lunch/Dinner,,,kachori,2604.61,632.21,14.32,3.47,62.18,0.54,2.2,7466.74,12777.6,39328.18,0,15.41,33.31,17.44,59.96,99.08,0.84,0.1,0.43,0,0.28,0.02,0.43,0,30.58,4.31,0,15.63,0,16.43,0.09,0.02,0.47,0.28,0.06,1.12,16.43,10.11
Pizza,Main Course,Lunch/Dinner,Y,,slice,1813.35,436.35,29.56,20.36,25.94,4.1,5.07,9649.21,8058.16,6929.79,55.45,229.6,284.49,54.22,668.97,576.47,1.98,0.2,2.23,0.02,0.53,0.03,2.11,64.5,4.13,20.59,0,41.51,0,87.58,0.2,0.41,3.97,1.26,0.36,9.64,87.58,42.9
Bacon and mushroom pancake,Desert,Breakfast,,,pancake,795.08,191.57,10.29,8.29,12.88,1.49,1.93,6713.05,4048.65,1059.35,47.66,54.36,111.08,19.11,418.26,255.56,0.66,0.08,4.05,0,0.14,0.01,0.75,94.83,0.3,10.29,0.04,14.03,0.61,14.58,0.22,0.11,1.85,0.74,0.2,4.61,14.58,1.91
Cheese and tomato pancake,Desert,Breakfast,,,pancake,675.34,162.49,11.76,5.67,10.24,3.84,1.17,6211,2720.02,471.47,42.2,140.58,176.99,17.97,310.48,167.02,0.71,0.06,2.8,0,0.16,0.01,0.73,110.73,0.4,4.71,0.04,9.73,0.61,16.52,0.05,0.09,0.33,0.4,0.07,2.87,16.52,9.72
Minced meat pancake (with chicken),Breakfast,Breakfast,,N,pancake,650.33,155.93,10.99,16.14,14.08,1.74,0.94,3113.88,1652.01,418.13,44.69,86.96,186.03,34.1,6640.97,342.24,2.68,0.17,8.21,0,0.24,0.02,1.01,49.93,0.36,0.98,0.5,3.92,9.88,12.77,0.07,0.06,2.87,0.64,0.22,2.91,12.77,2.14
Eggplant/Brinjal rice (Vangi bhat),Rice,Lunch/Dinner,,N,plate,2248.8,538.09,92.42,15.37,10.7,12.7,12.92,1592.14,4135.96,4111.16,0,104.88,303.71,136.13,171.96,889.07,5.57,0.86,11.17,0.03,1.65,0.4,2.57,0,2.43,10.6,0,26.3,0,77.11,0.4,0.21,3.47,1.41,0.35,2.68,77.11,3.23
Kashmiri 'tahar',Main Course,Lunch/Dinner,,,plate,1335.67,319.82,62.23,6.36,4.45,0.55,3.18,2475.78,1127.75,385.31,9.84,12.79,114.82,24.69,199.61,132.94,1.03,0.22,0.99,0.01,0.72,0.12,0.9,36.88,0.32,0.12,0,1.64,0,7.94,0.14,0.05,2.03,0.44,0.18,0.25,7.94,0.02
Cumin pulao (Jeera/Zeera pulao),Rice,Lunch/Dinner,,,plate,1525.42,365.83,63.87,6.69,8.65,1.73,3.79,1098.35,1800.99,5301.33,0,19.62,122.3,30.53,594.38,167.99,0.88,0.25,1.06,0.01,0.72,0.07,0.98,0,4.03,0.27,0,4.06,0,13.85,0.15,0.05,2.1,0.5,0.2,0.78,13.85,1.42
Peas pulao (Matar pulao),Rice,Lunch/Dinner,,,plate,2144.36,513.75,86.9,18.38,8.98,6.16,15.16,1182.74,1839.24,5447.25,0,85.79,222.56,101.26,406.68,637.38,3.7,0.64,3.75,0.01,2.18,0.1,2.83,0,4.38,20.38,0,73.06,0,110.56,0.57,0.1,4.21,1.68,0.54,8.18,110.56,62.36
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),Rice,Lunch/Dinner,,,plate,2149.26,514.92,87.14,15.91,10.15,7.01,13.96,1301.38,1996.19,6019.21,0,84.36,253.14,93.12,433.35,716.27,3.64,0.63,12.42,0.01,2.17,0.15,2.59,0,4.31,8.5,0,38.31,0,104.21,0.39,0.12,3.41,1.47,0.44,5.05,104.21,27.07
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),Rice,Lunch/Dinner,,,plate,2079.11,498.16,85.54,13.64,10.23,7.9,10.69,1301.88,2034.8,6035.39,0,65.53,236.06,79.58,409.15,588.63,3.07,0.57,14.22,0.01,2.03,0.13,2.28,0,4.13,1.82,0,9.35,0,88.34,0.28,0.1,2.93,1.21,0.35,3.62,88.34,8.11
Mutton pulao,Rice,Lunch/Dinner,,N,plate,3605.55,866.53,74.61,43.19,71.43,6.6,10.94,8035.95,11038.85,18817.81,15.6,330.45,530.2,151.67,20644.66,1177.24,8.27,0.72,3.92,0.01,3.27,0.29,2.74,54.5,13.97,2.5,0,13.47,0,39.34,0.42,0.27,8.04,1,0.33,2.91,39.34,4.47
Chicken pulao,Rice,Lunch/Dinner,,N,plate,3010.13,723.18,74.61,40.59,56.63,6.6,10.94,8831.75,12514.35,12326.71,77.14,215.44,530.2,165.67,20668.25,1141.24,6.55,0.75,11.92,0.01,3.28,0.29,3.44,81.28,7.35,2.5,0,12.62,0,38.7,0.32,0.24,7.5,1.71,0.63,3.91,38.7,4.47
Mexican rice,Rice,Lunch/Dinner,,,plate,2600.59,624.24,73.6,23.94,25.27,7.46,8.5,6833,7210.79,9498.08,61.6,75.11,314.38,74.53,483.67,762.47,2.86,0.44,2.9,0.01,1.47,0.08,4.17,4,7.24,18.53,0,43.04,0,53.09,0.32,0.23,6.92,1.65,0.54,5.34,53.09,42.71
Plain khitchdi (Plain khichri/khichdi),Rice,Lunch/Dinner,,,small bowl,1366.57,327.36,57.64,9.86,5.78,0.69,4.87,3088.85,1439.56,553.01,12.3,28.96,176.26,57.22,213.21,397.88,1.75,0.39,10.79,0.01,0.94,0.25,1.24,46.1,0.43,0.81,0,11.04,0,26.18,0.18,0.07,1.97,0.7,0.19,0.46,26.18,0.83
Instant idli (with semolina),Rice,Breakfast,,,idli,364.81,87.23,15.31,3.23,1.27,1.18,2.51,308.98,274.11,557.67,1.1,32.88,48.27,15.14,530.79,123.04,0.81,0.11,3.01,0,0.44,0.05,0.55,2.8,0.4,2.82,0,5.3,0,9.08,0.07,0.05,0.35,0.23,0.04,0.38,9.08,0.14
Plain dosa,Breakfast,Breakfast,,,dosa,573.92,137.6,23.15,3.73,3.05,0.25,1.89,1817.2,742.17,209.08,7.19,6.99,64.45,20.03,51.65,124.41,0.54,0.12,2.11,0,0.31,0.07,0.5,32.33,0.1,0.63,0,1.25,0,9.16,0.06,0.02,0.76,0.36,0.07,0.15,9.16,0
Masala dosa mixed vegetable fillings,Breakfast,Breakfast,,,dosa,1672.2,400.84,63.83,13.41,9.03,4.24,11.96,4039.83,2063.37,2106.61,14.38,88.16,227.86,100.22,338.57,914.52,3.34,0.48,7.27,0.01,1.32,0.24,1.99,64.67,1.52,14.34,0,49.45,0,89.33,0.3,0.12,2.89,1.65,0.42,4.76,89.33,52.07
Masala dosa paneer fillings,Breakfast,Breakfast,,,dosa,2002.38,479.75,58.72,20.34,17.45,9.5,6.15,9254.97,4613.26,2131.7,14.38,337.9,356.25,78.38,316.52,447.34,2.51,0.38,20,0.08,1.01,0.23,2.93,64.67,1.37,9.68,0,22.23,0,94.26,0.16,0.13,1.95,1.22,0.26,13.99,94.26,11.5
Uttapam,Breakfast,Breakfast,,,uttapam,724.88,174.15,24.68,4.21,6.14,1.02,2.99,2199.86,1366.16,2162.81,7.19,27.8,74.53,28.38,155.61,194.75,0.84,0.15,2.56,0,0.39,0.07,0.59,32.33,1.65,3.91,0,17.26,0,19.02,0.07,0.04,0.87,0.44,0.11,0.61,19.02,6.15
Appam,Breakfast,Breakfast,,,appam,1712.86,409.28,20.3,4.77,34.6,6.36,9.47,23406.81,2056.4,573.92,0,9.73,84.4,35.63,40.66,246.79,1.26,0.36,0.38,0,0.78,0.01,0.71,0,2.29,0.14,0,19.62,0,27.59,0.07,0.1,0.8,0.28,0.13,0.58,27.59,2.57
Beans and macaroni,Main Course,Lunch/Dinner,,,plate,1448.54,345.99,36.21,11.65,17.83,4.26,5.21,10801.17,4511.16,1058.64,50,220.83,322.24,68.79,464.74,562.31,1.9,0.22,10.08,0.01,0.66,0.05,1.58,196.83,0.73,9.01,0,31.52,0,82.63,0.16,0.15,2.42,0.86,0.56,8.42,82.63,16.54
Spaghetti bolognese,Main Course,Lunch/Dinner,,,shallow dish,1528.87,364.68,37.59,35,35.62,5.28,4.04,7368.98,4843.86,3492.48,52.07,275.72,543.69,109.5,20057.76,1017.97,7.72,0.37,10.5,0.01,0.86,0.03,3.97,80.82,2.59,14.37,0,31.25,0,37.77,0.18,0.16,3.95,1.12,0.28,4.9,37.77,27.89
Meat and macaroni casserole,Main Course,Lunch/Dinner,,N,small casserole dish,2707.95,647.01,64.58,36.63,40.72,3.99,4.75,3915.97,3719.16,9240.06,8.52,273.44,430.73,89.67,10060.5,1321.28,7.41,0.36,10.21,0.01,1.06,0.05,1.83,38.32,7.01,1.97,0,11.69,0,47.45,0.37,0.19,9.54,0.97,0.24,2.97,47.45,29.03
